location,week,first_dose,second_dose,vaccine,white_prop,black_prop,asian_prop,hispanic_prop,population,white,black,asian,hispanic
Tennessee,2020-03-15,8.935903526274423,0,janssen,0.736,0.164,0.018,0.057,6829174,15.430189126937778,13.928825436033101,11.719330766105067,12.872010276043452
Illinois,2020-03-15,9.350102314351341,0,janssen,0.609,0.136,0.056,0.176,12671821,15.858954256033023,14.359790874059179,13.472487679058275,14.617619983361278
Indiana,2020-03-15,8.922658299524402,0,janssen,0.786,0.092,0.024,0.072,6732219,15.481616878405072,13.336448663024905,11.99271391632381,13.09132620499192
Michigan,2020-03-15,9.341368634382587,0,janssen,0.749,0.134,0.032,0.053,9986857,15.827764191043643,14.106865007477335,12.67476111032615,13.179317121078546
Minnesota,2020-03-15,8.748304912379623,0,janssen,0.791,0.064,0.049,0.056,5639632,15.31087206190405,12.796457177496068,12.529394392247022,12.662925784871545
Ohio,2020-03-15,9.487972108574462,0,janssen,0.786,0.122,0.023,0.04,11689100,16.033368855052142,14.17043310735619,12.501906278552084,13.05529151673687
Wisconsin,2020-03-15,8.809862805379057,0,janssen,0.811,0.062,0.03,0.071,5822434,15.367741720472608,12.796608051402288,12.070671048019351,12.932153543398512
Arkansas,2020-03-15,8.131530710604252,0,janssen,0.721,0.152,0.016,0.078,3017804,14.592923830832506,13.036165214393833,10.784873415787338,12.368993520237149
Louisiana,2020-03-15,8.556413904569519,0,janssen,0.588,0.319,0.017,0.052,4648794,14.821090058003037,14.209554212889255,11.277576454160625,12.395606828685837
New Mexico,2020-03-15,7.783224016336037,0,janssen,0.367,0.017,0.016,0.495,2096829,13.553543330567132,10.48139482656878,10.420770204752344,13.852739245081253
Oklahoma,2020-03-15,8.389359819906353,0,janssen,0.65,0.069,0.021,0.111,3956971,14.76020647546382,12.517340617171396,11.32775655029756,12.99276431388647
Texas,2020-03-15,10.31559720336296,0,janssen,0.411,0.117,0.05,0.4,28995881,16.293502278894234,15.037082999195757,14.186932069826145,16.266373611505983
Iowa,2020-03-15,8.1886891244442,0,janssen,0.853,0.039,0.023,0.063,3155070,14.80552550922562,11.720327607863586,11.192260177663089,12.199900688125473
Kansas,2020-03-15,8.101677747454572,0,janssen,0.757,0.055,0.028,0.122,2913314,14.606409797241295,11.984379729036316,11.30925105397905,12.781067588537102
Missouri,2020-03-15,8.83927669058535,0,janssen,0.794,0.112,0.021,0.043,6137428,15.399244502120204,13.440659912168163,11.766683478596493,12.483361156566632
Nebraska,2020-03-15,7.696212639346407,0,janssen,0.785,0.048,0.024,0.113,1934408,14.233240333283682,11.438757626409163,10.74561044584922,12.294944434213614
Colorado,2020-03-15,8.748304912379623,0,janssen,0.678,0.038,0.032,0.218,5758736,15.177620573104432,12.296059444890423,12.124209187963764,14.042968347953126
Montana,2020-03-15,7.090076835776092,0,janssen,0.861,0.006,0.008,0.037,1068778,13.732365723165927,8.766030687966252,9.053712760418032,10.585189131382421
North Dakota,2020-03-15,6.802394763324311,0,janssen,0.841,0.024,0.014,0.04,762062,13.370619577179053,9.81408174755405,9.275085246821362,10.324907371320041
South Dakota,2020-03-15,6.907755278982137,0,janssen,0.819,0.022,0.013,0.037,884659,13.493286343875281,9.876244713380528,9.350151617483748,10.396120172666436
Utah,2020-03-15,8.070906088787819,0,janssen,0.778,0.01,0.023,0.144,3205958,14.729492756825397,10.375351325641052,11.208260448576155,13.042579532223007
Wyoming,2020-03-15,6.551080335043404,0,janssen,0.838,0.01,0.006,0.101,578759,13.091904256517555,8.663471249029516,8.152645625263526,10.976006672876732
Arizona,2020-03-15,8.974618038455112,0,janssen,0.542,0.043,0.033,0.318,7278717,15.187975890835206,12.653910005089122,12.389217450862041,14.654761272175737
California,2020-03-15,10.691944912900398,0,janssen,0.364,0.053,0.147,0.395,39512223,16.481519213696306,14.554657259611687,15.574797932838301,16.56325111096069
Hawaii,2020-03-15,7.438383530044307,0,janssen,0.204,0.012,0.394,0.103,1415872,12.573620868531737,9.740407524475522,13.231851783985455,11.890229862917158
Nevada,2020-03-15,8.101677747454572,0,janssen,0.478,0.092,0.085,0.293,3080156,14.20234625652709,12.554524101084676,12.475386780525952,13.712908133052702
Alaska,2020-03-15,7.170119543449628,0,janssen,0.6,0.022,0.06,0.07,731545,12.992088391214144,9.686201189356314,10.6895032982201,10.843653978047357
Idaho,2020-03-15,7.549609165154532,0,janssen,0.816,0.007,0.012,0.129,1787065,14.19274424327288,9.434240037364086,9.973236538096774,12.348142292670445
Oregon,2020-03-15,8.476371196895983,0,janssen,0.75,0.018,0.047,0.134,4217737,14.96712721379961,11.237425765165419,12.197201608979313,13.244893807220166
Washington,2020-03-15,9.035986984831405,0,janssen,0.675,0.038,0.089,0.13,7614893,15.452573904888364,12.575447373742222,13.426497583747976,13.805395664471417
Connecticut,2020-03-01,10.31559720336296,0,janssen,0.657,0.1,0.046,0.169,3565287,14.666683853001496,12.784170020504977,12.00764123100598,13.30889854943996
Maine,2020-03-01,9.350102314351341,0,janssen,0.932,0.014,0.011,0.017,1344212,14.04089606142458,9.842620576354246,9.601458519537358,10.036776590795204
Massachusetts,2020-03-01,10.969920942840002,0,janssen,0.705,0.07,0.067,0.124,6892503,15.39638738096584,13.08668482020293,13.042882197544536,13.658471143758607
New Hampshire,2020-03-01,9.358760377094455,0,janssen,0.898,0.013,0.026,0.039,1359711,14.015197524450974,9.779976813610311,10.473123994170255,10.87858910227842
Rhode Island,2020-03-01,9.116029692504942,0,janssen,0.705,0.059,0.033,0.166,1059361,13.523618977954527,11.042958619047978,10.461928736608739,12.077408963498803
Vermont,2020-03-01,8.594154232552366,0,janssen,0.928,0.011,0.016,0.018,623989,13.269164472795122,8.834028012807291,9.208721462248702,9.326504497905086
New Jersey,2020-03-01,11.206400304716968,0,janssen,0.545,0.124,0.096,0.21,8882190,15.392589221864968,13.912084992806761,13.656151618669561,14.438910957919193
New York,2020-03-01,11.447853468226514,0,janssen,0.552,0.14,0.086,0.193,19453561,16.18933346339861,14.817427839730819,14.330132713375022,15.1384756060264
Delaware,2020-03-01,8.987196820661973,0,janssen,0.614,0.218,0.039,0.097,973764,13.301163902635679,12.265664037277626,10.544730620618182,11.45587995299192
District of Columbia,2020-03-01,8.699514748210191,0,janssen,0.367,0.45,0.037,0.112,705749,12.464621498254823,12.668507232964618,10.170177562844477,11.277758521495349
Maryland,2020-03-01,10.811746112713019,0,janssen,0.499,0.296,0.064,0.106,6045680,14.919705342134801,14.397458700707343,12.865982329742954,13.370538340495349
Pennsylvania,2020-03-01,11.45741275503997,0,janssen,0.76,0.104,0.035,0.078,12801989,16.090674261741214,14.101746727602208,13.01270388995025,13.814064655150428
Virginia,2020-03-01,11.151955596748616,0,janssen,0.613,0.189,0.067,0.096,8535519,15.470356377751846,14.293738456875278,13.256684061206602,13.616339633283472
West Virginia,2020-03-01,9.648595302907339,0,janssen,0.925,0.032,0.008,0.014,1792147,14.320963358932921,10.956905524220224,9.570611163100333,10.130226951035755
Alabama,2020-03-01,10.599131613294661,0,janssen,0.654,0.265,0.014,0.044,4903185,14.980747624397415,14.077370098926437,11.136697602555474,12.281829906858476
Florida,2020-03-01,12.073112518273943,0,janssen,0.53,0.15,0.027,0.266,21477737,16.247649195801362,14.985407483351448,13.270609055259522,15.558268498036892
Georgia,2020-03-01,11.326595886778735,0,janssen,0.52,0.313,0.041,0.098,10617423,15.524080421558594,15.016454800523274,12.983823676687429,13.855219088653692
Kentucky,2020-03-01,10.505067539570582,0,janssen,0.845,0.08,0.016,0.037,4467673,15.143959597759633,12.78664960507634,11.17721169264224,12.015540883046683
Mississippi,2020-03-01,10.094107912144779,0,janssen,0.566,0.376,0.01,0.03,2976149,14.336979540107146,13.927974605293857,10.300970554898008,11.399582843566119
North Carolina,2020-03-01,11.334994256477566,0,janssen,0.627,0.209,0.029,0.097,10488084,15.6989415751977,14.600329286529591,12.625290864551255,13.832706013068163
South Carolina,2020-03-01,10.623763400484325,0,janssen,0.637,0.262,0.017,0.057,5148714,15.003271909309664,14.114846757498597,11.379715597793716,12.58955352157205
Tennessee,2020-03-01,10.911445472936107,0,janssen,0.736,0.164,0.018,0.057,6829174,15.430189126937778,13.928825436033101,11.719330766105067,12.872010276043452
Illinois,2020-03-01,11.32779998084354,0,janssen,0.609,0.136,0.056,0.176,12671821,15.858954256033023,14.359790874059179,13.472487679058275,14.617619983361278
Indiana,2020-03-01,10.89488575689709,0,janssen,0.786,0.092,0.024,0.072,6732219,15.481616878405072,13.336448663024905,11.99271391632381,13.09132620499192
Michigan,2020-03-01,11.322974881011783,0,janssen,0.749,0.134,0.032,0.053,9986857,15.827764191043643,14.106865007477335,12.67476111032615,13.179317121078546
Minnesota,2020-03-01,10.718852365820323,0,janssen,0.791,0.064,0.049,0.056,5639632,15.31087206190405,12.796457177496068,12.529394392247022,12.662925784871545
Ohio,2020-03-01,11.473144594958384,0,janssen,0.786,0.122,0.023,0.04,11689100,16.033368855052142,14.17043310735619,12.501906278552084,13.05529151673687
Wisconsin,2020-03-01,10.778956289890028,0,janssen,0.811,0.062,0.03,0.071,5822434,15.367741720472608,12.796608051402288,12.070671048019351,12.932153543398512
Arkansas,2020-03-01,10.102338411281293,0,janssen,0.721,0.152,0.016,0.078,3017804,14.592923830832506,13.036165214393833,10.784873415787338,12.368993520237149
Louisiana,2020-03-01,10.542706391070517,0,janssen,0.588,0.319,0.017,0.052,4648794,14.821090058003037,14.209554212889255,11.277576454160625,12.395606828685837
New Mexico,2020-03-01,9.752664662801545,0,janssen,0.367,0.017,0.016,0.495,2096829,13.553543330567132,10.48139482656878,10.420770204752344,13.852739245081253
Oklahoma,2020-03-01,10.357742824813725,0,janssen,0.65,0.069,0.021,0.111,3956971,14.76020647546382,12.517340617171396,11.32775655029756,12.99276431388647
Texas,2020-03-01,12.297739834055998,0,janssen,0.411,0.117,0.05,0.4,28995881,16.293502278894234,15.037082999195757,14.186932069826145,16.266373611505983
Iowa,2020-03-01,10.150347630467653,0,janssen,0.853,0.039,0.023,0.063,3155070,14.80552550922562,11.720327607863586,11.192260177663089,12.199900688125473
Kansas,2020-03-01,10.060491301345794,0,janssen,0.757,0.055,0.028,0.122,2913314,14.606409797241295,11.984379729036316,11.30925105397905,12.781067588537102
Missouri,2020-03-01,10.821776287072955,0,janssen,0.794,0.112,0.021,0.043,6137428,15.399244502120204,13.440659912168163,11.766683478596493,12.483361156566632
Nebraska,2020-03-01,9.648595302907339,0,janssen,0.785,0.048,0.024,0.113,1934408,14.233240333283682,11.438757626409163,10.74561044584922,12.294944434213614
Colorado,2020-03-01,10.725467604939041,0,janssen,0.678,0.038,0.032,0.218,5758736,15.177620573104432,12.296059444890423,12.124209187963764,14.042968347953126
Montana,2020-03-01,9.071078304642676,0,janssen,0.861,0.006,0.008,0.037,1068778,13.732365723165927,8.766030687966252,9.053712760418032,10.585189131382421
North Dakota,2020-03-01,8.748304912379623,0,janssen,0.841,0.024,0.014,0.04,762062,13.370619577179053,9.81408174755405,9.275085246821362,10.324907371320041
South Dakota,2020-03-01,8.85366542803745,0,janssen,0.819,0.022,0.013,0.037,884659,13.493286343875281,9.876244713380528,9.350151617483748,10.396120172666436
Utah,2020-03-01,10.034515814942532,0,janssen,0.778,0.01,0.023,0.144,3205958,14.729492756825397,10.375351325641052,11.208260448576155,13.042579532223007
Wyoming,2020-03-01,8.476371196895983,0,janssen,0.838,0.01,0.006,0.101,578759,13.091904256517555,8.663471249029516,8.152645625263526,10.976006672876732
Arizona,2020-03-01,10.947291604709243,0,janssen,0.542,0.043,0.033,0.318,7278717,15.187975890835206,12.653910005089122,12.389217450862041,14.654761272175737
California,2020-03-01,12.676388725957954,0,janssen,0.364,0.053,0.147,0.395,39512223,16.481519213696306,14.554657259611687,15.574797932838301,16.56325111096069
Hawaii,2020-03-01,9.38429367909962,0,janssen,0.204,0.012,0.394,0.103,1415872,12.573620868531737,9.740407524475522,13.231851783985455,11.890229862917158
Nevada,2020-03-01,10.085809109330082,0,janssen,0.478,0.092,0.085,0.293,3080156,14.20234625652709,12.554524101084676,12.475386780525952,13.712908133052702
Alaska,2020-03-01,9.093806555720231,0,janssen,0.6,0.022,0.06,0.07,731545,12.992088391214144,9.686201189356314,10.6895032982201,10.843653978047357
Idaho,2020-03-01,9.495519314209846,0,janssen,0.816,0.007,0.012,0.129,1787065,14.19274424327288,9.434240037364086,9.973236538096774,12.348142292670445
Oregon,2020-03-01,10.44581184336149,0,janssen,0.75,0.018,0.047,0.134,4217737,14.96712721379961,11.237425765165419,12.197201608979313,13.244893807220166
Washington,2020-03-01,11.016988453697989,0,janssen,0.675,0.038,0.089,0.13,7614893,15.452573904888364,12.575447373742222,13.426497583747976,13.805395664471417
Connecticut,2020-04-05,10.529425983402623,37400,moderna,0.657,0.1,0.046,0.169,3565287,14.666683853001496,12.784170020504977,12.00764123100598,13.30889854943996
Maine,2020-04-05,9.568014816247999,14300,moderna,0.932,0.014,0.011,0.017,1344212,14.04089606142458,9.842620576354246,9.601458519537358,10.036776590795204
Massachusetts,2020-04-05,11.185809323273041,72100,moderna,0.705,0.07,0.067,0.124,6892503,15.39638738096584,13.08668482020293,13.042882197544536,13.658471143758607
New Hampshire,2020-04-05,9.568014816247999,14300,moderna,0.898,0.013,0.026,0.039,1359711,14.015197524450974,9.779976813610311,10.473123994170255,10.87858910227842
Rhode Island,2020-04-05,9.332558004700433,11300,moderna,0.705,0.059,0.033,0.166,1059361,13.523618977954527,11.042958619047978,10.461928736608739,12.077408963498803
Vermont,2020-04-05,8.809862805379057,6700,moderna,0.928,0.011,0.016,0.018,623989,13.269164472795122,8.834028012807291,9.208721462248702,9.326504497905086
New Jersey,2020-04-05,11.421906066583059,91300,moderna,0.545,0.124,0.096,0.21,8882190,15.392589221864968,13.912084992806761,13.656151618669561,14.438910957919193
New York,2020-04-05,11.663928338506755,116300,moderna,0.552,0.14,0.086,0.193,19453561,16.18933346339861,14.817427839730819,14.330132713375022,15.1384756060264
Delaware,2020-04-05,9.20029003612268,9900,moderna,0.614,0.218,0.039,0.097,973764,13.301163902635679,12.265664037277626,10.544730620618182,11.45587995299192
District of Columbia,2020-04-05,8.922658299524402,7500,moderna,0.367,0.45,0.037,0.112,705749,12.464621498254823,12.668507232964618,10.170177562844477,11.277758521495349
Maryland,2020-04-05,11.02841714952161,61600,moderna,0.499,0.296,0.064,0.106,6045680,14.919705342134801,14.397458700707343,12.865982329742954,13.370538340495349
Pennsylvania,2020-04-05,11.67419361256635,117500,moderna,0.76,0.104,0.035,0.078,12801989,16.090674261741214,14.101746727602208,13.01270388995025,13.814064655150428
Virginia,2020-04-05,11.36789969291997,86500,moderna,0.613,0.189,0.067,0.096,8535519,15.470356377751846,14.293738456875278,13.256684061206602,13.616339633283472
West Virginia,2020-04-05,9.867860374892977,19300,moderna,0.925,0.032,0.008,0.014,1792147,14.320963358932921,10.956905524220224,9.570611163100333,10.130226951035755
Alabama,2020-04-05,10.815770263012745,49800,moderna,0.654,0.265,0.014,0.044,4903185,14.980747624397415,14.077370098926437,11.136697602555474,12.281829906858476
Florida,2020-04-05,12.289494253669247,217400,moderna,0.53,0.15,0.027,0.266,21477737,16.247649195801362,14.985407483351448,13.270609055259522,15.558268498036892
Georgia,2020-04-05,11.542484267211773,103000,moderna,0.52,0.313,0.041,0.098,10617423,15.524080421558594,15.016454800523274,12.983823676687429,13.855219088653692
Kentucky,2020-04-05,10.721062311471126,45300,moderna,0.845,0.08,0.016,0.037,4467673,15.143959597759633,12.78664960507634,11.17721169264224,12.015540883046683
Mississippi,2020-04-05,10.308952660644293,30000,moderna,0.566,0.376,0.01,0.03,2976149,14.336979540107146,13.927974605293857,10.300970554898008,11.399582843566119
North Carolina,2020-04-05,11.551184177087318,103900,moderna,0.627,0.209,0.029,0.097,10488084,15.6989415751977,14.600329286529591,12.625290864551255,13.832706013068163
South Carolina,2020-04-05,10.839580911706463,51000,moderna,0.637,0.262,0.017,0.057,5148714,15.003271909309664,14.114846757498597,11.379715597793716,12.58955352157205
Tennessee,2020-04-05,11.128732492137603,68100,moderna,0.736,0.164,0.018,0.057,6829174,15.430189126937778,13.928825436033101,11.719330766105067,12.872010276043452
Illinois,2020-04-05,11.543454670005051,103100,moderna,0.609,0.136,0.056,0.176,12671821,15.858954256033023,14.359790874059179,13.472487679058275,14.617619983361278
Indiana,2020-04-05,11.11095424611632,66900,moderna,0.786,0.092,0.024,0.072,6732219,15.481616878405072,13.336448663024905,11.99271391632381,13.09132620499192
Michigan,2020-04-05,11.538593211718807,102600,moderna,0.749,0.134,0.032,0.053,9986857,15.827764191043643,14.106865007477335,12.67476111032615,13.179317121078546
Minnesota,2020-04-05,10.936672035881783,56200,moderna,0.791,0.064,0.049,0.056,5639632,15.31087206190405,12.796457177496068,12.529394392247022,12.662925784871545
Ohio,2020-04-05,11.689396608086007,119300,moderna,0.786,0.122,0.023,0.04,11689100,16.033368855052142,14.17043310735619,12.501906278552084,13.05529151673687
Wisconsin,2020-04-05,10.997087299380693,59700,moderna,0.811,0.062,0.03,0.071,5822434,15.367741720472608,12.796608051402288,12.070671048019351,12.932153543398512
Arkansas,2020-04-05,10.31559720336296,30200,moderna,0.721,0.152,0.016,0.078,3017804,14.592923830832506,13.036165214393833,10.784873415787338,12.368993520237149
Louisiana,2020-04-05,10.757902880692196,47000,moderna,0.588,0.319,0.017,0.052,4648794,14.821090058003037,14.209554212889255,11.277576454160625,12.395606828685837
New Mexico,2020-04-05,9.971146201009942,21400,moderna,0.367,0.017,0.016,0.495,2096829,13.553543330567132,10.48139482656878,10.420770204752344,13.852739245081253
Oklahoma,2020-04-05,10.576432025778553,39200,moderna,0.65,0.069,0.021,0.111,3956971,14.76020647546382,12.517340617171396,11.32775655029756,12.99276431388647
Texas,2020-04-05,12.513924924771338,272100,moderna,0.411,0.117,0.05,0.4,28995881,16.293502278894234,15.037082999195757,14.186932069826145,16.266373611505983
